mutual_information_perfect,mutual_information_min,mutual_information_median,mutual_information_average,mutual_information_max,levenshtein_perfect,levenshtein_min,levenshtein_median,levenshtein_average,levenshtein_max,dimensions,scale
52,0.6666666666666666,1.0,0.9488578595762237,1.0,51,0,0.0,14.12,56,1,100
96,0.6666666666666666,1.0,0.9896428571428573,1.0,99,0,0.0,0.18,18,2,100
71,0.6666666666666666,1.0,0.9713294817945847,1.0,69,0,0.0,7.77,37,3,100
36,0.5,0.9285714285714286,0.8580885678798249,1.0,36,0,3.0,5.38,43,4,100
85,0.6666666666666666,0.9473684210526315,0.9351890834285734,1.0,82,0,18.0,17.505,59,1,200
194,0.6666666666666666,1.0,0.9926547619047619,1.0,198,0,0.0,0.18,18,2,200
197,0.6666666666666666,1.0,0.995,1.0,200,0,0.0,0.0,0,3,200
0,0.5,0.6666666666666666,0.7017507428251694,0.9629629629629629,0,3,7.0,9.13,28,4,200
226,0.6666666666666666,0.9545454545454546,0.9375256823016258,1.0,216,0,18.0,14.352,55,1,500
251,0.5,1.0,0.9439821349190443,1.0,260,0,0.0,4.242,29,2,500
218,0.5,0.9444444444444444,0.8184793173610203,1.0,231,0,7.0,4.228,29,3,500
387,0.3333333333333333,1.0,0.9592433912232953,1.0,384,0,0.0,7.332,79,4,500
418,0.6,0.9473684210526315,0.9265469975575892,1.0,407,0,18.0,17.236,74,1,1000
477,0.5,0.9583333333333334,0.9377841259459614,1.0,510,0,0.0,4.325,29,2,1000
410,0.5,0.9375,0.7969201698228989,1.0,432,0,7.0,4.331,29,3,1000
773,0.3333333333333333,1.0,0.960698624275151,1.0,779,0,0.0,6.65,79,4,1000
2471,0.6666666666666666,0.9615384615384616,0.9441917983417654,1.0,2342,0,18.0,14.2644,56,1,5000
2482,0.5,0.9642857142857143,0.9423740835746048,1.0,2583,0,0.0,4.2992,47,2,5000
2184,0.5,0.9473684210526315,0.8095620634200738,1.0,2291,0,7.0,4.1984,47,3,5000
1835,0.25,0.9375,0.8594081802864505,1.0,1826,0,3.0,6.3096,33,4,5000
4897,0.6666666666666666,0.96,0.9428362662916862,1.0,4622,0,18.0,13.881,55,1,10000
4857,0.5,0.9615384615384616,0.9413700091854244,1.0,5071,0,0.0,4.4007,47,2,10000
4317,0.5,0.9444444444444444,0.8059314050395145,1.0,4511,0,7.0,4.2757,47,3,10000
3784,0.25,0.9411764705882353,0.859595976534783,1.0,3769,0,3.0,6.1513,33,4,10000
9790,0.6666666666666666,0.96,0.9434068017057693,1.0,9239,0,18.0,13.8584,55,1,20000
9467,0.5,0.96,0.940771293326268,1.0,9879,0,8.0,4.5855,47,2,20000
8665,0.5,0.9473684210526315,0.8077162572598277,1.0,9079,0,7.0,4.26035,47,3,20000
7565,0.25,0.9411764705882353,0.8600264789348552,1.0,7528,0,3.0,6.06365,33,4,20000
25063,0.625,1.0,0.9440548408895204,1.0,22487,0,17.0,13.44318,54,1,50000
23473,0.5,0.96,0.9365027479944574,1.0,24786,0,8.0,4.55386,47,2,50000
21129,0.5,0.9444444444444444,0.8022513913309306,1.0,22401,0,7.0,4.28762,50,3,50000
18839,0.25,0.9411764705882353,0.8584831972315697,1.0,18752,0,3.0,6.17,33,4,50000
49854,0.625,0.9642857142857143,0.9392029518813763,1.0,46973,0,17.0,12.85816,54,1,100000
46012,0.5,0.9583333333333334,0.9292249514594418,1.0,49571,0,8.0,4.54469,47,2,100000
41643,0.5,0.9411764705882353,0.79955130547262,1.0,45075,0,7.0,4.26148,47,3,100000
37653,0.25,0.9375,0.8553190971895788,1.0,37494,0,3.0,6.13638,47,4,100000
